"Site","Sample_ID","Sample_Date","Species_Code","Genus","Species","Canopy_position","Light_Exposure","Sample_Type","Latitude","Longitude","Cmass_mg_g","Nmass_mg_g","CNratio","Carea_g_m2","Narea_g_m2","LMA_gDW_m2"
"FLMM","BNL12745",20170306,"COC-PUB","Coccoloba","pubescens","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,472,15.5,30.45,77.81,2.56,164.86
"SB2","BNL12922T",20170308,"TAB-HET","Tabebuia","heterophylla (DC.) Britton","Lower","Shaded","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,70.79
"FLMM","BNL12746",20170306,"COC-PUB","Coccoloba","pubescens","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,472.7,16.1,29.36,76.49,2.61,161.83
"SB2","BNL12923T",20170308,"CAL-CAL","calophyllum","calaba","Lower","Shaded","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,35.22
"FLMM","BNL12623",20170307,"FIC-TRY","Ficus","trigonata","Upper","Sunlit","Chem",18.387864,-66.028765,391.9,16.9,23.19,39.26,1.69,100.18
"SB2","BNL12924T",20170308,"CAL-CAL","calophyllum","calaba","Lower","Shaded","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,88.23
"FLMM","BNL12624",20170307,"FIC-TRY","Ficus","trigonata","Upper","Sunlit","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,100.41
"SB2","BNL12925T",20170308,"ALC-LAT","Alchornea","latifolia Sw.","Mid","Part_Sun","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,46.78
"FLMM","BNL12625",20170307,"FIC-CIT","Ficus","citrifolia","Lower","Shaded","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,48.96
"SB2","BNL12926T",20170309,"ALC-LAT","Alchornea","latifolia Sw.","Mid","Part_Sun","Chem",18.302924,-65.787412,483.9,19.5,24.82,24.7,1,51.05
"FLMM","BNL12626",20170307,"FIC-CIT","Ficus","citrifolia","Lower","Shaded","Chem",18.387864,-66.028765,421.6,15.2,27.74,21.09,0.76,50.01
"FLMM","BNL12627",20170307,"TRE-MIC","Trema","micrantha","Lower","Shaded","Chem",18.387864,-66.028765,438,19.6,22.35,30.06,1.35,68.63
"FLMM","BNL12628",20170307,"GUA-GUI","Guarea","guidonia","Mid","Part_Sun","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,88.68
"FLMM","BNL12629",20170307,"GUA-GUI","Guarea","guidonia","Upper","Sunlit","Chem",18.387864,-66.028765,518,26.7,19.4,50.63,2.61,97.73
"FLMM","BNL12630",20170307,"SWI-MAH","Swietenia","mahagoni","Upper","Sunlit","Chem",18.387864,-66.028765,512.7,18.1,28.33,52.56,1.86,102.52
"FLMM","BNL12631",20170307,"GUA-GUI","Guarea","guidonia","Upper","Sunlit","Chem",18.387864,-66.028765,550.7,30.5,18.06,26.14,1.45,47.47
"FLMM","BNL12633",20170307,"FIC-TRY","Ficus","trigonata","Lower","Shaded","Chem",18.387864,-66.028765,445.9,20.7,21.54,26.48,1.23,59.39
"FLMM","BNL12634",20170307,"FIC-TRY","Ficus","trigonata","Lower","Shaded","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,81.45
"FLMM","BNL12635",20170307,"TER-CAT","Terminalia","catappa","Upper","Sunlit","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,72.66
"FLMM","BNL12636",20170307,"GUA-ULM","Guazuma","ulmifolia","Upper","Sunlit","Chem",18.387864,-66.028765,477.7,30.4,15.71,41.68,2.65,87.25
"FLMM","BNL12637",20170307,"DEN-ARB","Dendropanax","arboreus","Lower","Shaded","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,56.23
"FLMM","BNL12638",20170307,"DEN-ARB","Dendropanax","arboreus","Lower","Shaded","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,74.62
"FLMM","BNL12639",20170307,"DEN-ARB","Dendropanax","arboreus","Upper","Sunlit","Chem",18.387864,-66.028765,481,26.1,18.43,32.64,1.77,67.85
"FLMM","BNL12640",20170307,"DEN-ARB","Dendropanax","arboreus","Upper","Sunlit","Chem",18.387864,-66.028765,493,23.9,20.63,44.49,2.16,90.25
"FLMM","BNL12641",20170307,"TET-BAL","Tetragastris","balsamifera","Lower","Shaded","Chem",18.387864,-66.028765,463.8,17.9,25.91,36.44,1.41,78.58
"FLMM","BNL12642",20170307,"TET-BAL","Tetragastris","balsamifera","Lower","Shaded","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,68.53
"FLMM","BNL12643",20170307,"BUC-TET","Buchenavia","tetraphylla","Lower","Shaded","Chem",18.387864,-66.028765,485.6,26.8,18.12,30.44,1.68,62.68
"FLMM","BNL12644",20170307,"BUC-TET","Buchenavia","tetraphylla","Upper","Sunlit","Chem",18.387864,-66.028765,486.8,17.3,28.14,73.98,2.63,151.97
"FLMM","BNL12645",20170307,"DEL-REG","Delonix","regia","Upper","Sunlit","Chem",18.387864,-66.028765,448.9,19,23.63,46.28,1.96,103.09
"FLMM","BNL12646",20170307,"GUA-ULM","Guazuma","ulmifolia","Lower","Shaded","Chem",18.387864,-66.028765,461.9,33.7,13.71,30.77,2.25,66.62
"FLMM","BNL12647",20170307,"SPA-CAM","Spathodea","campanulata P. Beauv","Upper","Sunlit","Chem",18.387864,-66.028765,455.8,22.5,20.26,42.88,2.12,94.07
"FLMM","BNL12648",20170307,"DEN-ARB","Dendropanax","arboreus","Upper","Sunlit","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,46.06
"FLMM","BNL12649",20170307,"DEN-ARB","Dendropanax","arboreus","Upper","Sunlit","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,76.78
"FLMM","BNL12651",20170307,"TET-BAL","Tetragastris","balsamifera","Upper","Sunlit","Chem",18.387864,-66.028765,510.4,23.8,21.45,23.74,1.11,46.51
"IITF","BNL12747",20170307,"SWI-MAC","Swietenia","macrophylla","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,495.7,10.1,49.08,55.54,1.13,112.05
"IITF","BNL12748",20170307,"SWI-MAC","Swietenia","macrophylla","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,471.5,9.9,47.63,46.96,0.99,99.6
"IITF","BNL12749",20170307,"SWI-MAC","Swietenia","macrophylla","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,487.7,10.6,46.01,NA,NA,NA
"IITF","BNL12750",20170307,"SWI-MAC","Swietenia","macrophylla","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,503.2,10.2,49.33,51.45,1.04,102.25
"IITF","BNL12751",20170307,"SWI-MAC","Swietenia","macrophylla","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,486.9,9.6,50.72,44.28,0.87,90.94
"IITF","BNL12752",20170307,"AND-INE","Andira","inermis (MOCA)","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,553.1,40.1,13.79,28.81,2.09,52.09
"IITF","BNL12753",20170307,"AND-INE","Andira","inermis (MOCA)","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,550.1,38.3,14.36,26.89,1.87,48.89
"IITF","BNL12754",20170307,"AND-INE","Andira","inermis (MOCA)","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,529.7,22.3,23.75,55.65,2.34,105.06
"IITF","BNL12756",20170307,"AND-INE","Andira","inermis (MOCA)","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,500.5,20.5,24.41,48.67,1.99,97.25
"IITF","BNL12757",20170307,"AND-INE","Andira","inermis (MOCA)","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,546.8,33.8,16.18,28.44,1.76,52.02
"IITF","BNL12758",20170307,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,507.9,15.2,33.41,78.28,2.34,154.13
"IITF","BNL12759",20170307,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,510.4,15.1,33.8,74.29,2.2,145.56
"IITF","BNL12760",20170307,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,506,13.9,36.4,70.63,1.94,139.59
"IITF","BNL12761",20170307,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,510.7,19.8,25.79,32.27,1.25,63.19
"IITF","BNL12762",20170307,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,519.5,23.7,21.92,35.25,1.61,67.85
"IITF","BNL12763",20170307,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,519.1,23.1,22.47,34.1,1.52,65.68
"IITF","BNL12764",20170307,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,466.5,26.3,17.74,42.54,2.4,91.19
"IITF","BNL12765",20170307,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,466.5,26.1,17.87,44.07,2.47,94.47
"IITF","BNL12766",20170307,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,479.9,26.6,18.04,41.59,2.31,86.66
"IITF","BNL12767",20170307,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,483.6,25.5,18.96,42.51,2.24,87.91
"IITF","BNL12768",20170307,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,446.9,25.8,17.32,41.62,2.4,93.14
"FLMM","BNL12650",20170308,"SPA-CAM","Spathodea","campanulata P. Beauv","Lower","Shaded","Chem",18.387864,-66.028765,422.6,17.5,24.15,40.62,1.68,96.12
"FLMM+IITF","BNL12652",20170308,"MAN-BID","Manilkara","bidentata","Upper","Sunlit","Chem",18.38923,-66.05525,473,16.3,29.02,39.48,1.36,83.47
"FLMM+IITF","BNL12653",20170308,"CEI-PEN","Ceiba","pentandra","Upper","Sunlit","Chem",18.38923,-66.05525,445.1,20.2,22.03,25.54,1.16,57.37
"FLMM+IITF","BNL12654",20170308,"CEI-PEN","Ceiba","pentandra","Upper","Sunlit","Chem",18.38923,-66.05525,453,26,17.42,28.9,1.66,63.79
"FLMM+IITF","BNL12655",20170308,"MAN-BID","Manilkara","bidentata","Upper","Sunlit","Chem",18.38923,-66.05525,455.9,17.7,25.76,116.48,4.52,255.5
"FLMM+IITF","BNL12656",20170308,"MAN-BID","Manilkara","bidentata","Upper","Sunlit","Chem",18.38923,-66.05525,482.1,11.2,43.04,25.05,0.58,51.97
"FLMM+IITF","BNL12657",20170308,"SWI-MAH","Swietenia","mahagoni","Lower","Shaded","Chem",18.38923,-66.05525,503.6,18.3,27.52,44.45,1.62,88.27
"FLMM+IITF","BNL12658",20170308,"CEI-PEN","Ceiba","pentandra","Mid","Part_Sun","Chem",18.38923,-66.05525,471.5,52.2,9.03,18.18,2.01,38.55
"FLMM+IITF","BNL12659",20170308,"FIC-CIT","Ficus","citrifolia","Upper","Sunlit","Chem",18.38923,-66.05525,474.4,18.8,25.23,101.79,4.03,214.57
"FLMM+IITF","BNL12660",20170308,"FIC-CIT","Ficus","citrifolia","Upper","Sunlit","Chem",18.38923,-66.05525,NA,NA,NA,NA,NA,99
"FLMM+IITF","BNL12661",20170308,"FIC-CIT","Ficus","citrifolia","Upper","Sunlit","Chem",18.38923,-66.05525,455.3,19.2,23.71,48.36,2.04,106.22
"FLMM+IITF","BNL12662",20170308,"COR-ALL","Cordia","alliodora","Lower","Shaded","Chem",18.38923,-66.05525,447.5,29.7,15.07,41.88,2.78,93.59
"FLMM+IITF","BNL12663",20170308,"TET-BAL","Tetragastris","balsamifera","Upper","Sunlit","Chem",18.38923,-66.05525,467.8,15.3,30.58,42.03,1.37,89.85
"FLMM+IITF","BNL12664",20170308,"COR-ALL","Cordia","alliodora","Upper","Sunlit","Chem",18.38923,-66.05525,NA,NA,NA,NA,NA,85.55
"FLMM+IITF","BNL12665",20170308,"OCO-LEU","Ocotea","leucoxylon (Sw.) De Laness.","Upper","Sunlit","Chem",18.38923,-66.05525,NA,NA,NA,NA,NA,67.06
"FLMM+IITF","BNL12666",20170308,"CIN-ELO","Cinnamomum","elongatum (Vahl ex Nees) Kosterm.","Upper","Sunlit","Chem",18.38923,-66.05525,NA,NA,NA,NA,NA,66.23
"FLMM+IITF","BNL12667",20170308,"CIN-ELO","Cinnamomum","elongatum (Vahl ex Nees) Kosterm.","Upper","Sunlit","Chem",18.38923,-66.05525,490.5,24.4,20.1,33.11,1.65,67.51
"FLMM+IITF","BNL12668",20170308,"CIN-ELO","Cinnamomum","elongatum (Vahl ex Nees) Kosterm.","Upper","Sunlit","Chem",18.38923,-66.05525,NA,NA,NA,NA,NA,74.32
"FLMM+IITF","BNL12669",20170308,"CEC-SCH","Cecropia","schreberiana Miq.","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,470.9,33.9,13.89,34.29,2.47,72.81
"FLMM+IITF","BNL12670",20170308,"CEC-SCH","Cecropia","schreberiana Miq.","Upper","Sunlit","Chem",18.38923,-66.05525,NA,NA,NA,NA,NA,73.02
"FLMM+IITF","BNL12671",20170308,"CIN-ELO","Cinnamomum","elongatum (Vahl ex Nees) Kosterm.","Lower","Shaded","Chem",18.38923,-66.05525,468.8,31.3,14.98,27.8,1.86,59.31
"FLMM+IITF","BNL12672",20170308,"ALB-PRO","Albizia","procera (Roxb.) Benth.","Upper","Sunlit","Chem",18.38923,-66.05525,NA,NA,NA,NA,NA,72.59
"FLMM+IITF","BNL12673",20170308,"ALB-PRO","Albizia","procera (Roxb.) Benth.","Upper","Sunlit","Chem",18.38923,-66.05525,475.6,26.8,17.75,47.66,2.69,100.21
"FLMM+IITF","BNL12674",20170308,"CEC-SCH","Cecropia","schreberiana Miq.","Upper","Sunlit","Chem",18.38923,-66.05525,NA,NA,NA,NA,NA,79.08
"FLMM+IITF","BNL12675",20170308,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","Chem",18.38923,-66.05525,NA,NA,NA,NA,NA,89.02
"FLMM+IITF","BNL12676",20170308,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","Chem",18.38923,-66.05525,NA,NA,NA,NA,NA,88.06
"FLMM+IITF","BNL12677",20170308,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","Chem",18.38923,-66.05525,439.7,14.9,29.51,34.88,1.18,79.33
"FLMM+IITF","BNL12678",20170308,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","Chem",18.38923,-66.05525,522.3,24.7,21.15,33.16,1.57,63.49
"FLMM+IITF","BNL12679",20170308,"CLI-FAI","Clitorin","fairchildan","Upper","Sunlit","Chem",18.38923,-66.05525,505.8,14.7,34.41,71.41,2.08,141.18
"FLMM+IITF","BNL12680",20170308,"AND-INE","Andira","inermis","Upper","Sunlit","Chem",18.38923,-66.05525,542.1,39.5,13.72,23.81,1.74,43.93
"FLMM+IITF","BNL12681",20170308,"AND-INE","Andira","inermis","Upper","Sunlit","Chem",18.38923,-66.05525,535.1,36.3,14.74,26.28,1.78,49.11
"FLMM+IITF","BNL12682",20170308,"AND-INE","Andira","inermis","Upper","Sunlit","Chem",18.38923,-66.05525,524.2,25.7,20.4,46.2,2.27,88.14
"FLMM+IITF","BNL12683",20170308,"SWI-MAC","Swietenia","macrophylla","Upper","Sunlit","Chem",18.38923,-66.05525,480.7,12.8,37.55,40.82,1.09,84.92
"FLMM+IITF","BNL12684",20170308,"SWI-MAC","Swietenia","macrophylla","Upper","Sunlit","Chem",18.38923,-66.05525,493.4,10.2,48.37,46.1,0.95,93.43
"FLMM+IITF","BNL12687",20170308,"BUC-BUC","Bucida","buceras","Upper","Sunlit","Chem",18.38923,-66.05525,486.6,14.6,33.33,77.57,2.33,159.41
"FLMM+IITF","BNL12688",20170308,"BUC-BUC","Bucida","buceras","Upper","Sunlit","Chem",18.38923,-66.05525,501.4,23.7,21.16,32.56,1.54,64.95
"FLMM+IITF","BNL12689",20170308,"BUC-BUC","Bucida","buceras","Upper","Sunlit","Chem",18.38923,-66.05525,474.9,17.5,27.14,80.39,2.96,169.27
"FLMM+IITF","BNL12690",20170308,"PIM-RAC","Pimenta","racemosa (Mill.) J.W. Moore","Upper","Sunlit","Chem",18.38923,-66.05525,494.5,9.7,50.98,82.46,1.62,166.76
"FLMM+IITF","BNL12691",20170308,"PIM-RAC","Pimenta","racemosa (Mill.) J.W. Moore","Upper","Sunlit","Chem",18.38923,-66.05525,501.8,11.2,44.8,77.48,1.73,154.4
"FLMM+IITF","BNL12692",20170308,"BUC-BUC","Bucida","buceras","Upper","Sunlit","Chem",18.38923,-66.05525,501.3,12.2,41.09,79.91,1.94,159.41
"FLMM","BNL12718",20170308,"ROY-BOR","Roystonea","borinquena","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,439.6,19.8,22.2,51.41,2.32,116.95
"FLMM","BNL12769",20170308,"ROY-BOR","Roystonea","borinquena","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,435.6,21.6,20.17,47.09,2.33,108.1
"FLMM","BNL12770",20170308,"ROY-BOR","Roystonea","borinquena","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,444.3,20.8,21.36,58.25,2.73,131.1
"FLMM","BNL12771",20170308,"ROY-BOR","Roystonea","borinquena","Upper","Sunlit","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,136.78
"FLMM","BNL12772",20170308,"ROY-BOR","Roystonea","borinquena","Upper","Sunlit","Chem",18.387864,-66.028765,NA,NA,NA,NA,NA,116.64
"IITF","BNL12773",20170308,"TER-WHR","Terocaous","whra","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,482.7,26,18.57,38.88,2.09,80.55
"FLMM+IITF","BNL12774",20170308,"Cecropia","Cecropia",NA,"Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,468.4,23.1,20.28,40.65,2,86.79
"FLMM+IITF","BNL12775",20170308,"Cecropia","Cecropia",NA,"Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,475.3,25.6,18.57,39.2,2.11,82.48
"FLMM+IITF","BNL12776",20170308,"Cecropia","Cecropia",NA,"Upper","Sunlit","Chem",18.38923,-66.05525,NA,NA,NA,NA,NA,98.9
"FLMM+IITF","BNL12778",20170308,"Cecropia","Cecropia",NA,"Upper","Sunlit","Chem",18.38923,-66.05525,473.1,24.2,19.55,47.88,2.45,101.21
"FLMM+IITF","BNL12779",20170308,"AND-INE","Andira","inermis (MOCA)","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,477.8,23.3,20.51,42.99,2.1,89.97
"FLMM+IITF","BNL12780",20170308,"AND-INE","Andira","inermis (MOCA)",NA,NA,"Spectra",18.38923,-66.05525,NA,NA,NA,NA,NA,NA
"FLMM+IITF","BNL12781",20170308,"BUC-BUC","Bucida","buceras","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,473.5,16.9,28.02,52.42,1.87,110.72
"FLMM+IITF","BNL12782",20170308,"BUC-BUC","Bucida","buceras","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,477.7,18.7,25.55,65.15,2.55,136.38
"FLMM+IITF","BNL12783",20170308,"BUC-BUC","Bucida","buceras","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,358.2,12.4,28.89,45.35,1.57,126.62
"FLMM+IITF","BNL12784",20170308,"BUC-BUC","Bucida","buceras","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,525,16.4,32.01,38.1,1.19,72.57
"FLMM+IITF","BNL12785",20170308,"BUC-BUC","Bucida","buceras","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,510.8,16.6,30.77,37.58,1.22,73.57
"FLMM+IITF","BNL12786",20170308,"BUC-BUC","Bucida","buceras","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,514.2,16.6,30.98,34.63,1.12,67.35
"FLMM+IITF","BNL12787",20170308,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,484.4,22.9,21.15,66.85,3.16,138
"FLMM+IITF","BNL12788",20170308,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,497.7,23.9,20.82,54.95,2.64,110.41
"FLMM+IITF","BNL12789",20170308,"CAL-ANT","Calophyllum","antillanum","Upper","Sunlit","GasEx / Fs",18.38923,-66.05525,507.5,23.6,21.5,69.55,3.23,137.04
"SB2","BNL12698",20170309,"MAN-BID","Manilkara","bidentata","Lower","Shaded","Chem",18.302924,-65.787412,496.5,14.8,33.55,49.92,1.49,100.55
"SB2","BNL12699",20170309,"CAL-CAL","Calophyllum","calaba","Mid","Part_Sun","Chem",18.302924,-65.787412,527.4,25.3,20.85,17.79,0.85,33.73
"SB2","BNL12700",20170309,"CAL-CAL","Calophyllum","calaba","Mid","Part_Sun","Chem",18.302924,-65.787412,529,19.3,27.41,21.34,0.78,40.34
"SB2","BNL12901",20170308,"CAL-CAL","Calophyllum","calaba","Upper","Sunlit","Chem",18.302924,-65.787412,516.8,14.2,36.39,46.43,1.28,89.84
"SB2","BNL12902",20170308,"SYZ-JAM","Syzygium","jambos","Upper","Sunlit","Chem",18.302924,-65.787412,523.2,19.2,27.25,28.76,1.06,97.73
"SB2","BNL12903",20170308,"SYZ-JAM","Syzygium","jambos","Upper","Sunlit","Chem",18.302924,-65.787412,484.9,20.6,23.54,56.74,2.41,117.02
"SB2","BNL12904",20170308,"ING-LAU","Inga","laurina (Sw.) Willd.","Lower","Shaded","Chem",18.302924,-65.787412,494.6,31.8,15.55,35.95,2.31,72.69
"SB2","BNL12905",20170308,"SYZ-JAM","Syzygium","jambos","Mid","Part_Sun","Chem",18.302924,-65.787412,511.5,17.8,28.74,37.42,1.3,73.15
"SB2","BNL12906",20170308,"SYZ-JAM","Syzygium","jambos","Mid","Part_Sun","Chem",18.302924,-65.787412,487.7,16.8,29.03,25.13,0.87,51.53
"SB2","BNL12907",20170308,"SYZ-JAM","Syzygium","jambos","Mid","Part_Sun","Chem",18.302924,-65.787412,496.4,17.7,28.05,55.33,1.97,111.46
"SB2","BNL12908",20170308,"SYZ-JAM","Syzygium","jambos","Mid","Part_Sun","Chem",18.302924,-65.787412,484.3,16.7,29,63.56,2.19,131.24
"SB2","BNL12909",20170308,"SYZ-JAM","Syzygium","jambos","Mid","Part_Sun","Chem",18.302924,-65.787412,516.5,23.5,21.98,29.35,1.34,96.59
"SB2","BNL12910",20170308,"ALC-LAT","Alchornea","latifolia Sw.","Mid","Part_Sun","Chem",18.302924,-65.787412,496.5,22.2,22.36,24.75,1.11,49.85
"SB2","BNL12911",20170309,"ALC-LAT","Alchornea","latifolia Sw.","Mid","Part_Sun","Chem",18.302924,-65.787412,489.8,29.1,16.83,28.03,1.67,57.23
"SB2","BNL12912",20170309,"ALC-LAT","Alchornea","latifolia Sw.","Mid","Part_Sun","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,65.56
"SB2","BNL12913",20170309,"TAB-HET","Tabebuia","heterophylla (DC.) Britton","Mid","Part_Sun","Chem",18.302924,-65.787412,469.7,14.1,33.31,30.2,0.91,64.29
"SB2","BNL12914",20170309,"TAB-HET","Tabebuia","heterophylla (DC.) Britton","Mid","Part_Sun","Chem",18.302924,-65.787412,480.1,14,34.29,38.72,1.13,80.64
"SB2","BNL12915",20170308,"ALC-LAT","Alchornea","latifolia Sw.","Upper","Sunlit","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,40.07
"SB2","BNL12916",20170308,"ALC-LAT","Alchornea","latifolia Sw.","Upper","Sunlit","Chem",18.302924,-65.787412,483.2,26.3,18.37,26.99,1.47,55.87
"SB2","BNL12917",20170309,"MAN-BID","Manilkara","bidentata","Mid","Part_Sun","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,66.92
"SB2","BNL12918",20170309,"MAN-BID","Manilkara","bidentata",NA,NA,"Spectra",18.302924,-65.787412,NA,NA,NA,NA,NA,NA
"SB2","BNL12919",20170309,"MAN-BID","Manilkara","bidentata","Mid","Part_Sun","Chem",18.302924,-65.787412,506.9,14.8,34.25,55.87,1.63,110.22
"SB2","BNL12920",20170308,"CAL-CAL","calophyllum","calaba","Lower","Shaded","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,58.8
"SB2","BNL12921",20170308,"CAL-CAL","calophyllum","calaba","Lower","Shaded","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,83.88
"SB2","BNL12922",20170308,"TAB-HET","Tabebuia","heterophylla (DC.) Britton","Lower","Shaded","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,70.79
"SB2","BNL12923",20170308,"CAL-CAL","calophyllum","calaba","Lower","Shaded","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,35.22
"SB2","BNL12924",20170308,"CAL-CAL","calophyllum","calaba","Lower","Shaded","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,88.23
"SB2","BNL12925",20170308,"ALC-LAT","Alchornea","latifolia Sw.","Mid","Part_Sun","Chem",18.302924,-65.787412,NA,NA,NA,NA,NA,46.78
"SB2","BNL12926",20170309,"ALC-LAT","Alchornea","latifolia Sw.","Mid","Part_Sun","Chem",18.302924,-65.787412,483.9,19.5,24.82,24.7,1,51.05
